Nie bój się!	Niy bōj sie!
W kredensie nie ma nikogo… Idź, Janku!…	W kredyńsie żodnego niy ma… Idź, Jōnek!…
— Tym lepiej — rzekł siostrzeniec Scrooge'a. — Bardzo mnie to cieszy, gdyż co do mnie, wyznam szczerze, nie mam wielkiego zaufania do talentów kulinarnych młodych gospodyń.	– Niy wiym – pedzioł Scrooge.
— Quel beau pays que l'Italie.	— Quel beau pays que l'Italie.
Przy tych słowach Bob się rozpłakał.	– Przebŏczcie mi – pedzioł Bob. – Je żech dzisiej niyskorny.
— Święta prawda! — odparła praczka. — Nikt na świecie nie dbał tak o siebie jak on.	– To je recht! – pedziała praczka. – Żŏdyn tak niy staroł sie ô siebie jak ôn.
— Zapewniam cię, że nie jest to lekka część mej kary — ciągnął duch. — Przyszedłem, aby cię ostrzec i zawiadomić, że możesz jeszcze uniknąć mego losu.	– To je czyńść mojij pokuty – ciōng duch. – Prziszołch sam dzisiej, coby ci pedzieć, iże durch mŏsz szansã i nadziejã na inkszy los.
— Zapewne!	– Już wiym!
Ruchy jego stały się nagłe, oddech krótki i świszczący, przy tym ogarnęła go ciemność.	Jego ruchy stały sie nogłe, krōtki dych świstoł, przi tym ôbloła go ćma.
Siostrzeniec Scrooge'a tak się rozgrzał szybkim chodem wśród mgły i mrozu, że cały był rozpromieniony; piękna twarz jego jaśniała, oczy błyszczały, a płuca wyrzucały chmury pary.	Kofer ôd panŏczka Scrooge’a bōł już prziwiōnzany do wiyrchu ôd kolasy, bajtle pożegnały sie ze dyrechtorym i z uciechōm ôdjechały drōgōm, a spod kōł wyskŏkowoł śniyg i czŏrne liście.
Dobrze, że choć w chwilę śmierci odchodziła szeroką, słoneczną drogą, bo za życia szła po prawdzie ciernistą.	Dobrze, iże aby we chwili śmierci ôdchodziyła szyrokōm, słōnecznōm drōgōm, bo za życio szła po prowdzie ciernistōm.
Chodźmy stąd!	Pōdź, idymy!
Tego największego?	Co z tego?
— Złe — odparł.	– Źle – ôdpedzioł.
Jego okrzyki zostały przytłumione przez dzwony kościelne, które wydobywały z siebie najweselsze brzmienia, jakie kiedykolwiek zdarzyło mu się słyszeć.	Eksplodyrowoł radościōm, jak usłyszoł kościoły grać nojpiykniyjsze melodyje, jake słyszoł we żywobyciu.
— Tak, moja droga — odpowiedział Bob. — I bardzo żałowałem, żeś nie poszła ze mną.	– Ja, roztōmiyło – wrōciōł Bob. – Żŏl, żeś tyż niy poszła.
— Oto jest Marta, mateczko — odpowiedziało dziewczę, które w tej chwili właśnie weszło do pokoju.	– Marta już je, mamo! – pedziała ôna sama, bo prawie weszła.
Jakoż czasem sprawiała mu warząchwią muzykę.	Tōż niyroz robiyła mu warzeszo muzyka.
Duchy dokonały wszystkiego w ciągu jednej nocy.	Duchy pokŏzały mi wszyjsko w jednã noc.
— Wisi tam jeszcze.	– To jŏ.
Scrooge, drżąc cały, zbliżył się do niej.	Scrooge podszoł do niego ze dyrgōwkami.
Znalazł ją Robinson Crusoe, gdy wrócił do domu po opłynięciu swej wyspy.	Biydny Robinson Crusoe wołoł go, jak wrōciōł do dōm po przepłyniyńciu naôbkoło wyspy. „Biydny Robinsonie, kajś to bōł?” Ôn myśloł, iże to bōł śnik, a to tyn papagaj, wiysz?
Dziedziniec domu był tak ciemny, że nawet Scrooge, który znał każdy kamień, zmuszony był przechodzić go po omacku.	Zygroda była takŏ ciymnŏ, iże Scrooge, co znoł tam kożdõ bergã, musioł iść po ômacku.
Co to będzie za rozkosz!	Co to bōł za jyndyk!
Nie wiadomo, skąd się to takie ulęgło, ale na jedną rzecz był tylko łapczywy, to jest na granie.	Niy wiadōmo, skōnd sie to take ulyngło, ale na jedna rzecz bōł ino przepadzity, to je na granie.
Oto wszystko.	To wszyjsko.
Było przecież już po drugiej, gdy poszedł spać.	Było po drugij, jak poszoł spać.
Gdy ośmielił się znowu podnieść oczy, ujrzał gościa zza grobu w pozycji stojącej, z nawiniętym na rękach łańcuchem.	Ôpowŏżōł sie podniyś ôczy i ôbejzdrzoł swojigo gościa stŏć przed nim ze lańcuchym zawieszōnym na ramiyniu.
Skąpstwo, chciwość, nieczułość, pragnienie wzbogacenia się… wszystko to sprawiło tak straszmy koniec!”	Dobroczynność, pożałowanie, tolerancyjŏ i szczodliwość miały być wszyjske mojim gyszeftym.
Wzmianka o pogrzebie Marleya przypomina mi, o czym mam mówić.	Słowo ô pogrzebie Marleya spōmniało mi ô tym, ôd czego żech zaczōn.
Wieczorami słuchiwał wszystkich głosów, jakie są na wsi, i pewno myślał sobie, że cała wieś gra.	Wieczōr suchoł wszyjskich głosōw, jake sōm na wsi, i pewnikym myśloł sie, iże cołko wieś gro.
Na jego widok Scrooge zawołał z uniesieniem:	Scrooge wyglōndoł zeszterowany i ôdpedzioł ino:
Wszystkie dźwigały takie same łańcuchy, jak duch Marleya; niektóre (mogły to być występne rządy) były skute razem; ani jedno nie było bez okowów.	Kożdŏ nosiyła kety jak duch ôd Marleya, niykere (możno winowate regyrōnki) były powiōnzane ze sobōm.
— Z pewnością, ojcze! — znów odpowiedzieli wszyscy.	– Nigdy, tato! – krzikli wszyjscy.
Taką tylko Scrooge otrzymał odpowiedź.	Kaj Scrooge słyszoł te słowa?
To strach zatrzymywał go na miejscu, to jakaś nieprzezwyciężona chęć pchała go naprzód.	To strach trzimoł go na miyjscu, to jakoś niyprzezwyciynżōno chyńć cisła go do przodku.
— Wiele!	– Ha ha!
— Zapewne — mówił Scrooge dalej — człowiek w życiu musi dążyć tą drogą, jaką sam obrał i dojść do pewnych właściwych rezultatów.	– No tōż – prawiōł Scrooge – muszã prziwyknōńć do tego, iże do kōńca mojigo żywobyciŏ bydōm za mnōm łazić duszki złōnaczōne ôdy mie samego.
Dawne „ja” Scrooge'a, teraz już w postaci młodzieńca, weszło żywo w towarzystwie swego kolegi.	Mody Scrooge, terŏz wyrośniynty karlus, wartko wpŏd do postrzodka społym ze swojim kamratym.
— Tak sądzisz?	– Ino tak myślisz.
Wcale niemiła ta wiadomość sprowadziła na czoło Scrooge'a pot kroplisty.	Scrooge suchoł tyj gŏdki zgorszōny.
To właśnie mogło być powodem, że Scrooge'owi zdawało się istotnie, że widzi przed sobą karawan posuwający się w górę.	Możno to skirz tego Scrooge’owi zdało sie, iże widzioł kolasã bez kōni jechać po słodach przed nim we ćmie.
Dziwne i zapewne straszne tajemnice, których zbadania nie każdy odważyłby się podjąć, ukrywały się pod stosami cuchnących łachmanów, odpadków tłuszczu i kości.	Tajymnice, kere niywielu chciałoby ôdkryć, rosły i kryły sie we hołdach smrodlawych chader, masach zepsutego fetu i grobowcach kości.
— Dobre czy złe? — nagliła delikatnie żona.	– Je dobrze abo źle? – spytała, coby mu pōmōc.
— A czyjażby?	– A co?
— Matulu! — i co go stójka rózgą, to on: „Matulu!	— Mamulko! — i co go wachtyrz karwaczym, to ôn: „Mamulko!
Tak poważna i tak obowiązująca formuła prawna: „Po upływie trzech dni, obowiązuję się zapłacić Ebenezerowi Scrooge'owi lub przekaz mającemu” itp. — stałaby się wówczas utopią, humbugiem amerykańskim.	Lepij mu sie zrobiyło skirz tego, bo dyć wszyjske te „Trzi dni ôd podpisaniŏ Pōn Ebenezer Scrooge dostanie” i tak dalij, byłyby wert tela, co te amerykańske piniōndze, keby niy było dni, podle kerych by szło rachować.
Ba!	Ach!
— Za życia byłem twoim wspólnikiem, Jakubem Marleyem.	– Za żywa bōł żech twojim partnyrym, Jakōbym Marleyym.
Wreszcie w oddali ukazało się małe miasteczko z mostem, kościołem i wijącą się wdzięcznie srebrną wstęgą rzeczki.	Szli drōgōm, a Scrooge poznŏwoł kożde wrota, kożdõ sztangã a kożdy strōm; aż małe tŏrgowe miasto pokŏzało sie daleko ze mostym, kościołym i zawijanōm rzykōm.
— To twój wujaszek, Scro-o-ge!	– To twōj ujek Scro–o–o–o–ge!
— Nic!	– Niy, niy!
Przy kominku, na którym płonął jasny i wesoły ogień, siedziała dzieweczka tak podobna do poprzedniej, iż Scrooge myślał, że to ta sama, dopóki nie zauważył, że jest już teraz poważną mężatką i że obok siedzi jej córka.	Kole ôgnia siedziała modziutkŏ dzioucha, takŏ podanŏ na tã wczaśniyjszõ, iże Scrooge myśloł, że to je ôna.
— Och, człowieku!	– Ô chopie!
Ledwie Kopciuszek przyniosła jaszczurki, wróżka od razu zamieniła je w sześciu paziów, którzy natychmiast w swoich wielobarwnych liberiach dosiedli koni za karocą i stanęli za nią tak dostojnie, jakby przez całe życie nie robili nic innego.	Zarŏz jak to zrobiyła, to pŏtka umiyniyła je we sześciu bedyntrōw, co niyzawodnie sie wdrŏpali na zadek ôd kolasy we swojich piyknych liwryjach i trzimali sie, choby bez cołke życie niy robiyli nic inkszego.
Podczas gdy się tak krzątał, kobieta, która pierwsza weszła, rzuciła na podłogę swój tłumok, usiadła w pozie bardzo swobodnej na stołku i splótłszy dłonie na kolanie, spoglądała na dwójkę jej towarzyszy, jakby wzywając ich, żeby uczynili to samo.	Jak ôn to robiōł, to baba, co już gŏdała, ciepła miech na zŏl i siadła ôstyntacyjnie na stołku, skrziżowała łokcie na kolanach i dziwała sie z wyzwaniym na tych dwōch inkszych.
Scrooge drżał coraz bardziej.	Scrooge cŏfnōł sie zlynkniōny.
Mieli–ż go tam sądzić jako złodzieja?… Pewno.	Mieli go tam sōńdzić za złodzieja?… Toć.
— A więc wychylę jego zdrowie, uczynię to przez miłość dla ciebie i przez wzgląd na dzisiejsze święto — rzekła pani Cratchit. — Niech żyje długie lata!	– Wypijã jego zdrowie skuli ciebie i Godōw – pedziała Cratchitowŏ – niy skuli niego.
Tu można było widzieć przygotowania do wieczerzy, bogato nakryte stoły, całe stosy talerzy ogrzewanych na gazie, kosztowne opony i meble; tam dzieci wybiegały na pokrytą śniegiem ulicę, aby powitać jak najprędzej przybywające zamężne siostry i braci, kuzynów, wujów, ciotki; ówdzie na oknach przesuwały się cienie zgromadzonych gości; tam znów dziewczęta, przybrane w futrzane kołnierze i takież buciki, szczebiocząc jedna przez drugą, lekkim krokiem spieszyły w sąsiedztwo.	Kōntrastowały ze gładkōm warstwōm śniegu na dachach i ze czŏrniyjszym śniegym na ziymi, zmaraszōnym i potniyntym kołami fōrōw i kolasōw w kolaje, co krziżowały a krziżowały sie ze sobōm sto razy, kaj wielke ulice sie rozłaziyły w roztōmajte strōny i robiyły zamotlane kanały, ciynżke do śledzyniŏ we rubym, żōłtym marasie i lodowatyj wodzie.
Ani słowa więcej.	Nic niy wiym.
— To jego kołdra? — zapytał Joe.	– Jego płacht? – spytoł Joe.
— Widzę — odparł duch.	– Widzã – ôdpedzioł duch.
Prawdziwe szczęście!	Wszyjskigo dobrego!
Minęli szeroką szosę i dobrze znajomą Scrooge'owi drożyną zbliżyli się do wielkiego gmachu zbudowanego z czerwonej cegły, na którym trzymała się jeszcze wieżyczka z dzwonem.	Zeszli ze głōwnyj ulicy i hned doszli do rezydyncyje ze czerwōnyj cegły ze kokotym na dachu.
Zasłyszawszy to, duch jęknął po raz trzeci i zabrzęczał swym łańcuchem w głuchej ciszy nocy tak straszliwie, że stróż nocny miałby słuszny powód aresztować go za zakłócenie spokoju publicznego.	Mŏra, jak to usłyszała, rykła jeszcze rŏz i tak strasznie zazwōniyła lańcuchym we nocnyj ciszy, iże nocny wachtyrz uznołby to za larmowanie po nocy.
Rozmawiała z nimi, zasypując je tysiącem uprzejmości, dzieliła się też pomarańczami i cytrynami, którymi poczęstował ją królewicz.	Podzielyła sie ś niymi apluzinami i cytrōnami, co jij je doł princ, a to je moc udziwiyło, bo jij niy znały.
— Tak, pana Scrooge'a.	– Toć, pana Scrooge’a.
Właził potem za piec i nic nie mówił po całych dniach, spoglądając jak kot błyszczącymi oczyma z ciemności.	Właziōł potym za piec i nic niy godoł bez cołke dni, ino spoziyroł jak kot blyszczōncymi ôczami ze ćmy.
Nic! — wykrztusił wzruszony Scrooge. — Zapewniam cię, że wcale nie czuję obawy.	– Nic – pedzioł Scrooge. – Nic.
Chudy był zawsze i opalony, z brzuchem wydętym, a zapadłymi policzkami; czuprynę miał konopną, białą prawie i spadającą na jasne, wytrzeszczone oczy, patrzące na świat, jakby w jakąś niezmierną dalekość wpatrzone.	Dycki bōł chudy i ôpolōny, z baniatym brzuchym, a zapadłymi licami; szopa mioł kōnopno, hned bioło i slatowała mu na jasne, wytrzyszczōne ôczy, co patrziły na świat, choby w jakoś niyzmierzōno dalekość wpatrzōne.
Scrooge zakrył twarz dłońmi i zapłakał: poznał w tym upuszczonym chłopcu samego siebie…	Scrooge wyglōndoł zeszterowany i ôdpedzioł ino:
O, nie! — zawołał Scrooge.	– Ach! – pedzioł Scrooge. – Nōnsyns!
Wszystko w porządku!	Wszyjskigo dobrego!
Ale skąd ich dostać?	Ale skōnd jōm dostać?
Nie mógł przypuścić, żeby rozmowy te dotyczyły Jakuba Marleya, jego dawnego wspólnika, chociażby z tego tylko względu, że Marley umarł już stosunkowo dawno, więc śmierć jego należała do przeszłości, a Duch przecież miał związek jedynie z przyszłością.	Marley bōł umarty, ôd tego trza zaczōńć.
Trzeci znów następnej nocy, gdy zegar wybije dwunastą.	– Drugŏ przidzie do ciebie w dalszõ noc ô tyj samyj godzinie.
Była to Roszpunka, która umilała sobie śpiewem chwile samotności.	To była Repōnczka, co we swojij samotności spyndzała czas na śpiywaniu swojim słodkim głosym.
Tyle tylko.	Toć.
Głos był Marleya; nie można było o tym wątpić.	Marley bōł umarty, ôd tego trza zaczōńć.
Scrooge podniósł lękliwie oczy i spojrzał na Ducha z szacunkiem.	Scrooge dziwoł sie na ducha, smutno pokryńciōł gowōm i zestarany wejzdrzoł na dźwiyrze.
Scrooge z niechęcią opuścił swój stołek i w milczeniu dał znak pomocnikowi, który natychmiast zgasił świecę i włożył kapelusz na głowę.	Scrooge niyrŏd slŏz ze stołka i bez słowa doł tym znak pisŏrzowi, a tyn zarŏz zdmuchnōł świycã i naraziōł na gowã hut.
— Ależ to Fezziwig!	– Dyć to je stary Fezziwig!
Tak!	Ha!
Scrooge nagle zatrzymał się.	Scrooge stanōł.
Tam przyczaiwszy się pod murem, słuchał.	Tam czajōł sie pod murym i suchoł.
Scrooge pochwycił linię z taką energią i tak groźnym ruchem, że śpiewak uciekł przerażony, przekładając nad ową dziurkę od klucza więcej przyjazną mgłę, a nawet więcej przyjazny mróz.	Mały kolyndnik ze modrym nosym, pogryziōnym i ôbtarmolōnym zimōm choby te kości, co je psy tarmolōm, schylōł sie przi Scrooge’owyj dziurce ôd klucza, coby mu zaśpiywać kolyndã, ale przi piyrszych źwiynkach „Cichyj nocy” Scrooge chyciōł linijŏrz ze takōm ynergijōm, iże śpiywŏk uciyk ze takim strachym, że ôstawiōł dziurkã we mgle i zimie.
Toż to małe i słabe i zawsze było ledwie żywe.	Dyć to małe i słabe i dycki było ledwo żywe.
— Pan Scrooge?	– Pōn Scrooge?
Scrooge często słyszał, jak mówiono, że Marley nie miał serca ani wnętrzności, ale nigdy temu dotąd nie wierzył.	Scrooge porzōnd słyszoł, co Marley niy mioł serca, ale dopiyro terŏz ôbejzdrzoł to na włŏsne ôczy.
Z dodatkiem kompotu jabłecznego i przysmażonych kartofli, stanowiła ona zupełnie wystarczające danie dla całej rodziny.	Ze dodanōm jabkowōm zōuzōm i kartŏflami stykło na wieczerzõ dlŏ cołkij familije; toć, jak to Cratchitowŏ pedziała ze wielkōm radościōm (jak patrzała na malućkõ kostkã na swojim talyrzu), na kōniec ani wszyjskigo niy zjedli!
Matulu!!”, ale coraz ciszej, słabiej, aż za którymś razem ucichło dziecko i nie wołało już matuli…	Mamulko!!”, ale coroz ciszyj, słabij, aże za kerymś razym dziycio ucichło i mamulki już niy wołało…
— Firma Scrooge i Marley, jeżeli się nie mylę? — zapytał jeden z nich, zaglądając do swej listy. — Czy mam przyjemność mówić z panem Scrooge czy z panem Marleyem?	– To je, wierzim, Scrooge a Marley – rzeknōł jedyn i wejzdrzoł na swōj wykŏz. – Mōm przijymność ze panym Scrooge’ym czi Marleyym?
Wspaniale!	Gyszefty!
— Ding-dong!	– Zgŏdnij!
Jedynym wrażeniem dodatnim, jakie wywołał ów zgon, wrażeniem, które Duch pozwolił stwierdzić Scrooge'owi naocznie, była radość gnębionych przez nieboszczyka ludzi.	Jedynŏ ymocyjŏ, jakõ duch mu mōg pokŏzać skirz tego wydarzyniŏ, była radość.
Wujowi Scrooge zrobiło się tak wesoło i lekko na sercu, że byłby podziękował siostrzeńcowi i całemu towarzystwu, chociażby nieuchwytnym dla nich głosem, gdyby Duch pozwolił na to.	Mŏra była zakōntyntnŏ widzieć Scrooge’a takigo radego i dziwała sie na niego z uśmiychym, jak prosiōł choby mały bajtel, coby ôstali aż goście pōdōm.
Siedział tuż obok ojca, na małym krzesełku.	Siedzioł na ryczce bardzo blisko swojigo ôjca.
Jego serce i dusza uczestniczyły żywo w tej zabawie, razem z jego dawną postacią.	Jego serce i dusza były postrzōd tych ludzi, zmiyniōł sie we siebie sprzed wielu lŏt.
Scrooge przysłuchiwał się żałosnym jękom wichru i rozmyślał, jaka to wspaniała rzecz posuwać się wśród nieprzejrzanej ciemności ponad niezmierzoną przepaścią ukrywającą na dnie swoim wielkie tajemnice.	Udziwiyło Scrooge’a fest przi suchaniu stynkaniŏ wiatru i miarkowaniu, jakŏ to ôpowŏżnŏ rzecz je – rajzować bez ćmã i niyznōmy bezdyń, ôd kerego głymbokość była takōm tajymnicōm jak śmierć – udziwiyło go, iże w tym wszyjskim usłyszoł szczyry śmiych.
Pewnego dnia kobieta, patrząc na ogród przez okienko, ujrzała grządkę, na której rosła niezwykle bujna roszpunka — była tak świeża i zielona, że kobieta zapragnęła jej skosztować, i myśl ta nie odstępowała jej ani na chwilę.	Jedyn dziyń kobiyta stoła przi tym ôknie i dziwała sie w dōł do zygrody, kej ôbŏczyła betã ôbsadzōnõ przepiyknōm repōnczkōm, co wyglōndała tak świyżo i zielōno, iże zapragła jij i miała ôgrōmnõ szkrabkã jã zjeś.
﻿Jak właściwie doszło do tego, że Katowice zostały stolicą polskiego Śląska, a potem metropolii?	Jak po prowdzie doszło do tego, iże Katowice ôstały za głowne miasto polskigo Ślōnska, a potym metropolije?
Jak się masz chłopcze!	Jak sie mŏcie!
— Człowieku — rzekł Duch — jeśli masz serce, a nie kamień, to nigdy nie wypowiadaj tak ohydnych słów, dopóki nie zrozumiesz, czym jest właściwie ten nadmiar ludności i gdzie on się znajduje.	– Chopie – pedzioł duch – jak żeś je w sercu czowiekym, a niy kamyniym, ustōń sorōńsko fandzolić podwiela niy bydziesz wiedzieć, fto w tym przeludniyniu je i kaj ôno je.
Wówczas dopiero obie siostry rozpoznały w Kopciuszku ową piękną pannę, którą widziały na balu.	Wtynczŏs jeji dwie siostry poznały w nij tã piyknõ ôsobã, co jã widziały na bŏlu.
Znać ich nie chcę!	Jak bardzo bōł rŏd ich widzieć!
Księżyc właśnie na niebie był pełny i wchodził ukośnie przez okno do kredensu, odbijając je w kształcie wielkiego jasnego kwadratu na przeciwległej ścianie.	Miesiōnczek na niebie bōł prawie połny i wchodziōł na szago bez ôkno do kredynsu, a ôdbijoł je we formie wielkigo jasnego kwadratu na przeciwnyj ścianie.
Lekkie jego, przelotne dotknięcie obudziło uczucia starego Scrooge'a, który teraz chciwie wdychał balsamiczne wonie unoszące się w powietrzu, a każda wskrzeszała w nim tysiące wspomnień, nadziei, radości i trosk — dawno, dawno, zapomnianych…	Udziwiyło Scrooge’a fest przi suchaniu stynkaniŏ wiatru i miarkowaniu, jakŏ to ôpowŏżnŏ rzecz je – rajzować bez ćmã i niyznōmy bezdyń, ôd kerego głymbokość była takōm tajymnicōm jak śmierć – udziwiyło go, iże w tym wszyjskim usłyszoł szczyry śmiych.
— Tu nie o to chodzi — przerwał Joe. — Obawiam się tylko, czy on nie umarł na jaką zaraźliwą chorobę…	– Niy umrził ôd czego zakaźnego, co? – pedzioł Joe, zastawiōł swojã robotã i podniōs gowã.
Scrooge także go podpisał, a nazwisko Scrooge'a miało poważny walor na giełdzie zawsze, cokolwiek by podpisał.	Scrooge podpisoł.
Scrooge i Duch szli teraz przez ulice Londynu.	I jak Scrooge i duch szli tak ulicami, jasność ôgni we kuchniach, paradnych izbach i wszyjskich inkszych, była szumnŏ.
Kiedy jej dwie siostry wróciły z balu, Kopciuszek zapytała, czy dobrze się bawiły i czy była tam znowu ta sama urocza dama, co poprzednio.	Kej dwie siostry wrōciyły z bŏlu, to Popieluszka je spytała, jeźli sie dobrze bawiyły i jeźli tam była ta piyknŏ paniczka.
Zziębnięty pracownik nie mógł jednak podsycić ognia, ponieważ Scrooge trzymał skrzynię z węglami w swoim pokoju, a ile razy pomocnik wszedł z łopatką, pryncypał zawsze mu groził, że będą musieli się rozstać, wskutek czego biedny pomocnik obwinął szyję białym szalikiem i usiłował ogrzać się przy świecy; ponieważ atoli nie posiadał dość bujnej imaginacji, usiłowania były bezskuteczne.	Scrooge tego niy czuł, ale widzioł, bo chociŏż duch siedzioł bez ruchu, jego wosy i ôblyczynie leko sie ruszały, choby skuli gorkigo luftu z jakigo pieca.
Tymczasem kasztany i poncz krążyły wciąż wśród rozbawionej rodziny, a Mały Tim zaśpiewał swym żałosnym głosikiem piosenkę o dziecku zasypanym przez śnieg, a śpiewał bardzo ładnie.	Jak nōż weszoł do postrzodka, a pokŏzoł sie filōng, wszyjscy stynkli we zachwycyniu, nawet mały Tim podrajcowany społym ze małymi Cratchitami, klupnōł łyżkōm we stōł i słabućko krziknōł „Hura!”
Proszę tu do mnie!	Pōdźcie, proszã, za mnōm.
Podczas walki z Duchem — jeżeli to w ogóle można było nazwać walką, bo Duch, nie broniąc się wcale, zdawał się nie odczuwać wysiłków napastnika — spostrzegł Scrooge, że nad głową Ducha unosi się teraz jeszcze jaśniejszy i wyższy niż przedtem wytrysk światła; w tym mniemaniu, że owo światło daje Duchowi nad nim przewagę, chwycił gasidło i wtłoczył je na głowę Ducha.	We walce – jeźli idzie to mianować walkōm – bo ducha niy szterowało nic, co przeciwnik prōbowoł robić, Scrooge dojzdrzoł, iże światło ôd ducha świyciyło mocno i jasno, tōż chyciōł przeciwôgniowõ dekã i przikrōł niōm ducha.
Zresztą, czego się tu obawiać?	I co skuli tego?
Wielki Boże!	Panie Boże!
Następnie zaprowadził dzieci do niskiego, wyziębionego, odrapanego pokoju, w którym mapy na ścianach, jak również niebieskie i ziemskie globy w oknach, pookrywał szron.	Przeszli potym do ôszkliwyj studnie, co ôstała z nojlepszyj izby, jakõ świat widzioł, kaj ôd zimy mapy na ścianach i globy na ôknach wyglōndały choby ze wosku.
Pewnej nocy nikogo nie było w kredensie.	W jedna noc żodnego niy było w kredyńsie.
„Nie myśl już o tym, tatusiu!	– Niy, nigdy, tatulku! – wszyjscy zaś krzikli.
Duch i Scrooge szli przez sień do drzwi umieszczonych w tyle domu.	Scrooge i fantōm weszli we jednym czasie ze babōm, co wcisła sie tam ze ciynżkim miechym.
Wszyscy wchodzili porządnie, bez tłoczenia się; jedni nieśmiało, inni zuchwale, jedni z wdziękiem, drudzy niezgrabnie, jedni szybko, inni z wolna, aż wreszcie wszyscy znaleźli się w pokoju.	Wszyjscy weszli, jedyn za drugim; jedni z gańbōm, inksi ôpowŏżnie, jedni szykownie, inksi szpotlawo, jedni poleku, inksi wartko.
— Jakże długo was w domu nie było! — powiedziała do nich, ziewając, przecierając oczy i przeciągając się tak, jakby dopiero co się obudziła.	— Fajnie dugo wŏs niy było! — prawiyła dō nich ze ziywaniym, wyciyraniym ôczōw i prze­ciōnganiym, choćby sie prawie ôbudziyła.
Nie był sam.	Dō niego to było jedno.
— Tak jest.	– To jŏ.
Dzieci wdrapywały się na niego po krzesłach jak po drabinach, aby zanurzyć ręce w jego kieszeni, pozbawić go paczek, chwytać za pas, wieszać mu się na szyi, siadać na barkach i kopać go po nogach — a wszystko to czyniły z radości, której oprzeć się nie były zdolne.	To skirz tego, że ludzie tak sie uwijali, bo wiedzieli, co ich dzisiej czekŏ; że sie strzaskowali we dźwiyrzach koszami, ôstawiali sprŏwōnki na tŏflach i lŏtali nazŏd, coby je weznōńć, a robiyli setki takich felerōw we nojlepszyj możliwyj launie; a sklepiŏrz i ôd niego ludzie byli tacy szczyrzi, iże piernikowe serca, co ś niymi zwiōnzali zŏpaski ze zadku to mogły aji być ôd nich włŏsne, narychtowane do inspekcyje abo do wydziobaniŏ ôd kawek.
Ściany domów, a zwłaszcza ich okna, wydawały się zupełnie czarne, nie tylko w porównaniu z gładkim, białym całunem śniegu na dachach, ale nawet w porównaniu z brudnym śniegiem na ulicach, w którym ciężkie koła wozów i pojazdów powyorywały głębokie bruzdy.	Kōntrastowały ze gładkōm warstwōm śniegu na dachach i ze czŏrniyjszym śniegym na ziymi, zmaraszōnym i potniyntym kołami fōrōw i kolasōw w kolaje, co krziżowały a krziżowały sie ze sobōm sto razy, kaj wielke ulice sie rozłaziyły w roztōmajte strōny i robiyły zamotlane kanały, ciynżke do śledzyniŏ we rubym, żōłtym marasie i lodowatyj wodzie.
Bardzo tego pragnął.	Tego ino chcioł.
Ale o co ci chodzi?	I co skuli tego?
O, Duchu, powiedz, że mogę zetrzeć napis z tego grobowca…	Powiydz mi, że mogã jeszcze zmiynić miano na tym kamyniu!
Pewne jest również, że Scrooge widywał ją każdego dnia rano i wieczorem, podczas swego długoletniego zamieszkiwania w tym domu.	To je tyż fakt, iże Scrooge widowoł jã rano i na wieczōr bez cołki czas, jak tam miyszkoł.
Ale ta chęć nie wyszła mu na dobre.	Ale ta chyńć niy wyszła mu na dobre.
Scrooge musiał przysunąć się bardzo blisko i długo czekać, zanim uczuł nieco ciepła z tak skromnej garstki paliwa.	Musioł siedzieć blisko, bezma wlyźć do kōminka, coby poczuć chociŏż troszkã ciepła.
— Ding-dong!	– Zgŏdnij!
Scrooge zaś zabrał się do pracy w znacznie lepszym niż zazwyczaj usposobieniu.	Scrooge bōł lepszy niż ôbiecowoł.
— Opuść mnie!	– Ôstŏw mie!
Był to chłopiec i dziewczyna.	To bōł synek i dziouszka.
— I ja także.	– Ja.
Zapewne Scrooge nie byłby w stanie powiedzieć, gdyby go kto o to zapytał, dlaczego zapragnął widzieć Ducha w osobliwej czapce na głowie.	Scrooge postawiōł to pytanie, pōniywŏż niy wiedzioł, jeźli takŏ przejzdrzistŏ mŏra poradzi siedzieć i zdŏwało mu sie, iże jakby niy mogła, musiałaby to z gańbōm wytuplikować.
Młodsza z sióstr, która nie była tak niegodziwa jak starsza, nazywała ją Kopciuszkiem.	Ino modszŏ siostra, co niy była takŏ niyuczciwŏ jak starszŏ, gŏdała na niã Popieluszka.
Kominek był stary, zbudowany dawno temu przez jakiegoś holenderskiego kupca i wyłożony dziwacznymi flamandzkimi kaflami, przedstawiającymi różne sceny z Pisma Świętego.	Kōminek bōł blank stary, zbudowany ôd jakigo holynderskigo handlyrza i cołki wykachlowany delftami, co pokazowały wydarzynia z Biblije.
— Bądź zdrów! — powtórzył Scrooge.	– Sztwierć – pedzioł Scrooge.
Przeszedłszy kilka kroków, spostrzegł idącego naprzeciw poważnego jegomościa, który odwiedził go wczoraj w kantorze, zapytując: „Firma Scrooge i Marley, jeżeli się nie mylę?”.	Niy zaszoł daleko, jak ôbejzdrzoł jednego z tych dwōch chopōw, co prziszli we Wilijõ do buchalteryje i pytali, eli to Scrooge i Marley.
— Jakubie Marleyu — odezwał się błagalnie — stary Jakubie Marleyu, mój dobry przyjacielu, powiedz mi wszystko, co wiesz!	– Jakōb – zajynczoł – stary Jakōbie Marleyu, powiydz mi wiyncyj.
